StopName,StopID
4th St & Townsend St,13163
5th St & Townsend St,13174
5th St & Brannan St,13166
Harrison St & 5th St,14969
Harrison St & 6th St,14970
Harrison St & 7th St,14971
Harrison St & 8th St,14972
Harrison St & 9th St,14973
11th St & Harrison St,13238
11th St & Folsom St,13236
11th St & Howard St,13240
Mission St & 11th St,15545
South Van Ness Ave & Mission St,16473
Van Ness Ave & Market St,16817
Van Ness Ave & Grove St,16811
Van Ness Ave & Mcallister St,16815
Van Ness Ave & Turk St,16831
Van Ness Ave & Eddy St,16804
Van Ness Ave & O'Farrell St,16823
Van Ness Ave & Post St,16827
Van Ness Ave & Sutter St,16829
Van Ness Ave & California St,16799
Van Ness Ave & Clay St,16803
Van Ness Ave & Jackson St,16813
Van Ness Ave & Broadway,16798
Van Ness Ave & Union St,16833
Van Ness Ave & Greenwich St,16809
Van Ness Ave & Chestnut St,16800
Van Ness Ave & Bay St,16806
North Point St & Van Ness Ave,15472
North Point St & Polk St,15469
North Point St & Larkin St,15465
North Point St & Hyde St,15459
North Point St & Jones St,15461
North Point St & Mason St,15467
Powell St & Beach St,137038
