StopName,StopID
PHELAN LOOP,15926
Ocean Ave & Geneva Ave,17036
Ocean Ave & Howth St,15791
Ocean Ave/Balboa Park Bart Station,15781
Ocean Ave & San Jose St,15805
Ocean Ave & Otsego Ave,15800
Ocean Ave & Cayuga Ave,15783
Ocean Ave & Persia Ave,15801
Mission St & Brazil Ave,15582
Mission St & Excelsior Ave,15586
Mission St & Silver Ave,15620
Mission St & Trumbull St,15624
Mission St & Murray St,15605
Mission St & Richland Ave,15613
Mission St & Highland Ave,15596
Mission St & Appleton Ave,15577
Mission St & Cortland Ave,15583
Mission St & 30th St,15571
Mission St & 29th St,15569
Mission St & Fair Ave,15587
Mission St & Precita Ave,15611
Mission St & 26th St,15567
Mission St & 24th St,15565
Mission St & 23rd St,15563
Mission St & 22nd St,15561
Mission St & 21st St,15559
Mission St & 20th St,15557
Mission St & 19th St,15555
Mission St & 18th St,15553
Mission St & 16th St,15551
Mission St & 15th St,15549
Mission St & 14th St,15547
Mission St & 13th St,15546
South Van Ness Ave & Mission St,16473
Van Ness Ave & Market St,16817
Van Ness Ave & Grove St,16811
Van Ness Ave & Mcallister St,16815
Van Ness Ave & Turk St,16831
Van Ness Ave & Eddy St,16804
Van Ness Ave & O'Farrell St,16823
Van Ness Ave & Post St,16827
Van Ness Ave & Sutter St,16829
Van Ness Ave & California St,16799
Van Ness Ave & Clay St,16803
Van Ness Ave & Jackson St,16813
Van Ness Ave & Broadway,16798
Van Ness Ave & Union St,16833
Van Ness Ave & Greenwich St,16809
Van Ness Ave & Chestnut St,16800
Van Ness Ave & Bay St,16806
Van Ness Ave & North Point St,16818
