StopName,StopID
PHELAN LOOP,15926
Ocean Ave & Geneva Ave,17036
Geneva Ave & Howth St,14882
Geneva Ave/Balboa Park BART,14805
Geneva Ave & Delano Ave,14816
Geneva Ave & Cayuga Ave,14811
Geneva Ave & Mission St,17671
Geneva Ave & Paris St,14893
Geneva Ave & Madrid St,14883
Geneva Ave & Naples St,14891
Geneva Ave & Munich St,14888
1650 Geneva Ave,14796
1750 Geneva Ave,14799
Geneva Ave&Carter St,17304
Santos St & Geneva Ave,16343
Santos St & Velasco Ave,16345
Santos St & Brookdale Ave,16340
Sunnydale Ave & Santos St,16578
Hahn St & Sunnydale Ave,14937
Visitacion Ave & Sawyer St,16853
Visitacion Ave & Britton St,16846
Visitacion Ave & Schwerin St,16855
Visitacion Ave & Cora St,16848
Visitacion Ave & Rutland St,16851
Bay Shore Blvd & Visitacion Ave,13793
San Bruno Ave & Arleta Ave,16352
SAN BRUNO AVE & SOMERSET ST,17191
3801 San Bruno Ave,16350
San Bruno Ave & Wilde Ave,16370
San Bruno Ave & Ward St,16368
San Bruno Ave & Mansell St,16360
San Bruno Ave & Paul Ave,16362
San Bruno Ave & Wayland St,16373
San Bruno Ave & Bacon St,16355
San Bruno Ave & Thornton Ave,16367
San Bruno Ave & Silver Ave,16364
Bryant St & 6th St,13725
Bryant St & 5th St,13724
Bryant St & 4th St,13723
3rd St & Perry St,13144
3rd St & Folsom St,13124
3rd St & Howard St,13128
3rd St & Stevenson St,13136
Kearny St & Geary Blvd,14821
Kearny St & Sutter St,14826
Kearny St & Bush St,14818
Kearny St & California St,14819
Kearny St & Clay St,14820
Kearny St & Jackson St,14822
Columbus Ave & Kearny St,14111
Columbus Ave & Broadway,14101
Columbus Ave & Green St,14108
Columbus Ave & Union St,14119
Powell St & Lombard St,16060
Powell St & Francisco St,16056
Powell St & Bay St,16045
Bay St & Midway St,13031
Kearny St & North Point St,134823
