StationName,StopID
Wawona/46th Ave /SF Zoo,16932
46th Ave & Vicente St,13603
46th Ave & Ulloa St,13601
46th Ave & Taraval St,13599
Taraval St & 44th Ave,16637
Taraval St & 42nd Ave,16635
Taraval St & 40th Ave,16633
Taraval St & Sunset Blvd,16641
Taraval St & 35th Ave,16631
Taraval St & 32nd Ave,16629
Taraval St & 30th Ave,16627
Taraval St & 28th Ave,16625
Taraval St & 26th Ave,16623
Taraval St & 24th Ave,16621
Taraval St & 22nd Ave,16619
Taraval St & 19th Ave,16617
Taraval St & 17th Ave,16615
15th Ave & Taraval St,13267
15th Ave & Ulloa St,13269
Ulloa St & Forest Side Ave,16737
West Portal Station,16740
Metro Forest Hill Station/Downtown,15730
Metro Castro Station/Downtown,15728
Metro Church Station/Downtown,15726
Metro Van Ness Station,15419
Metro Civic Center Station/Downtn,15727
Metro Powell Station/Downtown,15417
Metro Montgomery Station/Downtown,15731
Metro Embarcadero Station,16992
