StationName,StopID
Judah/La Playa/Ocean Beach,15223
Judah St & 46th Ave,15216
Judah St & 43rd Ave,15214
Judah St & 40th Ave,15212
Judah St & Sunset Blvd,15225
Judah St & 34th Ave,15210
Judah St & 31st Ave,15208
Judah St & 28th Ave,15206
Judah St & 25th Ave,15204
Judah St & 22nd Ave,15201
Judah St & 19th Ave,15200
Judah St & 15th Ave,15197
Judah St & Funston Ave,15220
Judah St & 12th Ave,15196
Judah St & 9th Ave,15194
9th Ave & Irving St,13212
Irving St & 7th Ave,15122
Irving St & 4th Ave,15120
Irving St & Arguello Blvd,15124
Carl St & Hillway Ave,13913
Carl St & Stanyan St,13915
Carl St & Cole St,13911
Sunset Tunnel East Portal,17318
Duboce Ave & Church St,14448
Metro Van Ness Station,15419
Metro Civic Center Station/Downtn,15727
Metro Powell Station/Downtown,15417
Metro Montgomery Station/Downtown,15731
Metro Embarcadero Station,16992
The Embarcadero & Folsom St,14509
The Embarcadero & Brannan St,14506
King St & 2nd St,15234
King St & 4th St,15239
