DriverName,OriginID,DestinationID
Mary,13163,0
Susan,137038,0
Linda,15926,0
Karen,16818,0
Donna,15926,0
Lisa,134823,0
Patricia,16932,0
Debra,16992,0
Cynthia,15418,0
Deborah,16740,0
Sandra,15223,0
Barbara,15239,0
Brenda,16740,0
Pamela,17395,0
Nancy,13163,0
Sharon,137038,0
Cheryl,15926,0
Elizabeth,16818,0
Teresa,15926,0
Lori,134823,0
Kathy,16932,0
Diane,16992,0
Carol,15418,0
Laura,16740,0
Debbie,15223,0
Kimberly,15239,0
Kathleen,16740,0
Julie,17395,0
Denise,13163,0
Cindy,137038,0
Tammy,15926,0
Janet,16818,0
Robin,15926,0
Kim,134823,0
Theresa,16932,0
Margaret,16992,0
Laurie,15418,0
Rebecca,16740,0
Michelle,15223,0
Christine,15239,0
Janice,16740,0
Catherine,17395,0
Carolyn,13163,0
Rhonda,137038,0
Cathy,15926,0
Tina,16818,0
Connie,15926,0
Judy,134823,0
Terri,16932,0
Angela,16992,0
Ann,15418,0
Kelly,16740,0
Diana,15223,0
Sherry,15239,0
Paula,16740,0
Sheila,17395,0
Dawn,13163,0
Joyce,137038,0
Maria,15926,0
Beverly,16818,0
Jennifer,15926,0
Annette,134823,0
Wendy,16932,0
Lynn,16992,0
Valerie,15418,0
Wanda,16740,0
Jane,15223,0
Betty,15239,0
Peggy,16740,0
Shirley,17395,0
Bonnie,13163,0
Beth,137038,0
Vicki,15926,0
Judith,16818,0
Darlene,15926,0
Jill,134823,0
Amy,16932,0
Suzanne,16992,0
Gloria,15418,0
Katherine,16740,0
Joan,15223,0
Kathryn,15239,0
Martha,16740,0
Tracy,17395,0
Jacqueline,13163,0
Jean,137038,0
Anita,15926,0
Anne,16818,0
Michele,15926,0
Gail,134823,0
Stephanie,16932,0
Leslie,16992,0
Renee,15418,0
Ellen,16740,0
Dorothy,15223,0
Rita,15239,0
Ruth,16740,0
Rose,17395,0
Joanne,13163,0
Vickie,137038,0
Terry,15926,0
Virginia,16818,0
Marie,15926,0
Anna,134823,0
Regina,16932,0
Maureen,16992,0
Colleen,15418,0
Phyllis,16740,0
Melissa,15223,0
Carla,15239,0
Becky,16740,0
Elaine,17395,0
Penny,13163,0
Victoria,137038,0
Andrea,15926,0
Sarah,16818,0
Helen,15926,0
Marilyn,134823,0
Alice,16932,0
Sue,16992,0
Sylvia,15418,0
Julia,16740,0
Sally,15223,0
Melanie,15239,0
Tamara,16740,0
Sandy,17395,0
Frances,13163,0
Gina,137038,0
Jeanne,15926,0
Eileen,16818,0
Joann,15926,0
Pam,134823,0
Yvonne,16932,0
Jo,16992,0
Lorraine,15418,0
Sherri,16740,0
Evelyn,15223,0
Loretta,15239,0
Carrie,16740,0
Dana,17395,0
Monica,13163,0
Sheryl,137038,0
Melinda,15926,0
Jackie,16818,0
Patty,15926,0
Toni,134823,0
Doris,16932,0
Charlene,16992,0
Roberta,15418,0
Belinda,16740,0
Charlotte,15223,0
Joy,15239,0
Melody,16740,0
Vanessa,17395,0
Christina,13163,0
Glenda,137038,0
Marcia,15926,0
Shelly,16818,0
Jeanette,15926,0
Dianne,134823,0
Holly,16932,0
Norma,16992,0
Gwendolyn,15418,0
Lynne,16740,0
Patti,15223,0
Jan,15239,0
Carmen,16740,0
Veronica,17395,0
Vicky,13163,0
Heidi,137038,0
Yolanda,15926,0
Teri,16818,0
Deanna,15926,0
Audrey,134823,0
Lois,16932,0
Tami,16992,0
Shelia,15418,0
Marsha,16740,0
Sheri,15223,0
Jamie,15239,0
Rosemary,16740,0
Shelley,17395,0
Lynda,13163,0
Juanita,137038,0
Tammie,15926,0
Sara,16818,0
Irene,15926,0
Vivian,134823,0
Crystal,16932,0
Tracey,16992,0
April,15418,0
Kay,16740,0
